Exp No,folder,fish,task,area,swim,pixeldenoise,registration,detrend,localdenoise,demix,voltr,spikes,subvolt,FineTune,dataToAnalysis,rootDir
36,7262018,Fish1-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
37,7262018,Fish1-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
38,7262018,Fish2-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
39,7262018,Fish2-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
40,7262018,Fish3-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
41,7262018,Fish3-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
42,7262018,Fish4-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,/nrs/ahrens/Takashi/
43,7262018,Fish4-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
44,8022018,Fish1-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
45,8022018,Fish1-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,/nrs/ahrens/Takashi/
46,8022018,Fish2-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
47,8022018,Fish2-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
48,8022018,Fish3-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
49,8022018,Fish3-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/nrs/ahrens/Takashi/
50,8022018,Fish4-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
51,8022018,Fish4-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Takashi/
52,10182018,Fish2-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
53,10182018,Fish2-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
54,10182018,Fish3-1,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
55,10182018,Fish3-2,Raphe memory task,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
56,11222018,Fish1-1,Gain adadptation,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
57,11222018,Fish1-2,Gain adadptation,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
58,11222018,Fish1-3,Social water,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
59,11222018,Fish2-1,Gain adadptation,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
60,11222018,Fish2-2,Gain adadptation,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
61,11222018,Fish2-3,Social water,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
62,11222018,Fish3-1,Gain adadptation,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
63,11222018,Fish3-2,Social water,Raphe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
64,12202018,Fish1-1,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
65,12202018,Fish1-2,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
66,12202018,Fish2-1,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
67,12202018,Fish2-2,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
68,12202018,Fish3-1,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
69,12202018,Fish3-2,Gain adadptation,Raphe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
70,1032019,Fish1-1,Gain adadptation,Raphe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
71,1032019,Fish1-2,Gain adadptation,Raphe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
72,1032019,Fish1-3,Gain adadptation,Raphe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
73,1032019,Fish2-1,Gain adadptation,Raphe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
74,1032019,Fish2-2,Gain adadptation,Raphe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/nrs/ahrens/Ziqiang/Takashi_DRN_project/RawData/
